,Title,Type,Price,Location,Bathrooms,Size,Purpose,Bedrooms,Property Added
939,100 square yard signature house available for sale,House,PKR4.5 Crore,"DHA Defence, Karachi, Sindh",5,100 Sq. Yd.,For Sale,4,1 day ago
940,Good Prime Location 350 Square Yards House For Sale In Navy Housing Scheme Karsaz,House,PKR14.25 Crore,"Navy Housing Scheme Karsaz, Karachi, Sindh",6,350 Sq. Yd.,For Sale,5,10 minutes ago
941,Bay The Sea Living Is The Dream For Everyone And This Time Its True A Fresh Booking Start With Very Affordable Prices And Down Payments,Flat,PKR3.7 Crore,"DHA Defence, Karachi, Sindh",2,106 Sq. Yd.,For Sale,1,1 week ago
942,Investors Should Sale This House Located Ideally In Scheme 33,House,PKR3.2 Crore,"Scheme 33, Karachi, Sindh",2,120 Sq. Yd.,For Sale,2,1 week ago
943,Luxurious 3BDD Flat for Sale in Metropolis Residency!,Flat,PKR3 Crore,"Jinnah Avenue, Karachi, Sindh",4,217 Sq. Yd.,For Sale,3,2 weeks ago
944,"""Discover the Ultimate Investment: Four-Year Easy Installments for Bath Island's Finest Residence!""",Flat,PKR5.65 Crore,"Bath Island, Karachi, Sindh",4,235 Sq. Yd.,For Sale,3,2 weeks ago
945,3 Bedrooms Luxury Villa for Sale in Bahria Town Precinct 10-A,House,PKR1.6 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,6 days ago
946,4 Bedrooms Luxury Sport City Villa For Sale In Bahria Town Precinct 35,House,PKR1.9 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,6 days ago
947,3 Bedrooms Luxury Villa for Sale in Bahria Town Precinct 11-B,House,PKR1.3 Crore,"Bahria Town Karachi, Karachi, Sindh",3,152 Sq. Yd.,For Sale,3,6 days ago
948,House For Sale,House,PKR6.4 Crore,"Cantt, Karachi, Sindh",6,377 Sq. Yd.,For Sale,5,6 days ago
949,Brand New Architecture Design House With Imported Fittings And Fixtures,House,PKR23 Crore,"DHA Defence, Karachi, Sindh",-,500 Sq. Yd.,For Sale,7,6 days ago
950,240 Square Yards House Is Available For Sale,House,PKR5.5 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",3,240 Sq. Yd.,For Sale,3,1 day ago
951,Get In Touch Now To Buy A 240 Square Yards House In Karachi,House,PKR4.5 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",4,240 Sq. Yd.,For Sale,4,12 minutes ago
952,BAHRIA TOWN PRECINCT 1 LUXURY VILLA FOR SALE,House,PKR3.1 Crore,"Bahria Town Karachi, Karachi, Sindh",6,275 Sq. Yd.,For Sale,5,2 days ago
953,Precinct 6 Luxury Villa Bahria Town Karachi,House,PKR3.3 Crore,"Bahria Town Karachi, Karachi, Sindh",6,279 Sq. Yd.,For Sale,5,2 days ago
954,SPLIT VILLA. VERY UNIQUE AND WELL DESIGNED FOR BIG FAMILIES,House,PKR8.9 Crore,"Amir Khusro, Karachi, Sindh",6,250 Sq. Yd.,For Sale,6,2 days ago
955,400 Square Yards House For Grabs In Scheme 33,House,PKR8 Crore,"Scheme 33, Karachi, Sindh",-,400 Sq. Yd.,For Sale,10,2 days ago
956,125 SQ YARDS HOUSE FOR SALE PRECINCT-31 Bahria Town Karachi.,House,PKR1.05 Crore,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,2 days ago
957,A 120 Square Yards House Located In KN Gohar Green City Is Available For Sale,House,PKR1.65 Crore,"KN Gohar Green City, Karachi, Sindh",-,120 Sq. Yd.,For Sale,-,1 day ago
958,KN Gohar Green City Flat Sized 393 Square Feet For Sale,Flat,PKR45 Lakh,"KN Gohar Green City, Karachi, Sindh",-,44 Sq. Yd.,For Sale,-,1 day ago
959,Flat Of 393 Square Feet For Sale In KN Gohar Green City,Flat,PKR44 Lakh,"KN Gohar Green City, Karachi, Sindh",-,44 Sq. Yd.,For Sale,-,1 day ago
960,House 80 Square Yards For Sale In KN Gohar Green City,House,PKR97 Lakh,"KN Gohar Green City, Karachi, Sindh",-,80 Sq. Yd.,For Sale,-,1 day ago
961,Get An Attractive House In KN Gohar Green City Under Rs. 9500000/-,House,PKR95 Lakh,"KN Gohar Green City, Karachi, Sindh",2,80 Sq. Yd.,For Sale,2,1 day ago
962,Ideal Flat For sale In Bahria Apartments,Flat,PKR1.8 Crore,"Bahria Town Karachi, Karachi, Sindh",3,194 Sq. Yd.,For Sale,3,1 day ago
963,Bahria Paradise - Precinct 51 House Sized 500 Square Yards,House,PKR4.1 Crore,"Bahria Town Karachi, Karachi, Sindh",5,500 Sq. Yd.,For Sale,5,1 day ago
964,House For sale In Bahria Sports City,House,PKR1.95 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,1 day ago
965,Naya Nazimabad | Block A Bungalow | 120 SQ YD | 2 Bed D/D With Attached Bath + West Open + Corner + Lease Paid + KE Charges Paid + Map Paid + Ready House In 4 Months + Payment Time 4 Months,House,PKR3.25 Crore,"Naya Nazimabad, Karachi, Sindh",2,120 Sq. Yd.,For Sale,2,2 weeks ago
966,Naya Nazimabad Luxury Apartment 0% COMMISSION DEAL INSTALMENT PLAN AVAILABLE 5 Rooms + 3 Bed D/D + West Open + Park Face + Corner + 100 Feet Road + Globe Roundabout Facing + Most Premium Location,Flat,PKR2.07 Crore,"Naya Nazimabad, Karachi, Sindh",3,194 Sq. Yd.,For Sale,3,2 weeks ago
967,IQRA RESIDENCY provides Spacious and luxury apartments for sale in azam town,Flat,PKR56 Lakh,"Azam Town, Karachi, Sindh",2,73 Sq. Yd.,For Sale,2,3 weeks ago
968,Luxury Affordable Penthouse Available For Sale,Penthouse,PKR73 Lakh,"Azam Town, Karachi, Sindh",-,95 Sq. Yd.,For Sale,-,3 weeks ago
969,1000 Yards Bungalow For Sale In Phase 5,House,PKR13.9 Crore,"DHA Defence, Karachi, Sindh",5,"1,000 Sq. Yd.",For Sale,4,6 days ago
970,500 Yards Bungalow For Sale Most Prime Location In Dha Phase 6,House,PKR18 Crore,"DHA Defence, Karachi, Sindh",5,500 Sq. Yd.,For Sale,4,6 days ago
971,1000 Yards Brand New House For Sale,House,PKR47 Crore,"DHA Defence, Karachi, Sindh",6,"1,000 Sq. Yd.",For Sale,6,6 days ago
972,Prime Location House For Sale In Rs. 52500000,House,PKR5.25 Crore,"Malir, Karachi, Sindh",6,382 Sq. Yd.,For Sale,5,6 days ago
973,"Beautifully , New Design Constructed Prime Location House Is Available For Sale In Falcon Complex, New Malir",House,PKR8.5 Crore,"Malir, Karachi, Sindh",5,350 Sq. Yd.,For Sale,5,6 days ago
974,500 Square Yards brand new West open Corner House For sale In Beautiful Falcon Complex New Malir,House,PKR12.75 Crore,"Malir, Karachi, Sindh",5,500 Sq. Yd.,For Sale,5,6 days ago
975,500 YARDS TWO UNITS RENOVATED,House,PKR11 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,1 day ago
976,300 Yards Brand New House,House,PKR10.25 Crore,"DHA Defence, Karachi, Sindh",6,300 Sq. Yd.,For Sale,5,1 day ago
977,SPLIT VILLA. VERY UNIQUE AND WELL DESIGNED FOR BIG FAMILIES,House,PKR8.9 Crore,"Amir Khusro, Karachi, Sindh",6,250 Sq. Yd.,For Sale,6,2 days ago
978,400 Square Yards House For Grabs In Scheme 33,House,PKR8 Crore,"Scheme 33, Karachi, Sindh",-,400 Sq. Yd.,For Sale,10,2 days ago
979,125 SQ YARDS HOUSE FOR SALE PRECINCT-31 Bahria Town Karachi.,House,PKR1.05 Crore,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,2 days ago
980,Construct 125 Square Yards Villa In BTK On Easy Monthly Installments,House,PKR1.05 Crore,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,2 days ago
981,152 SQ YARDS HOUSE FOR SALE PRECINCT-11B Bahria Town Karachi.,House,PKR1.3 Crore,"Bahria Town Karachi, Karachi, Sindh",3,152 Sq. Yd.,For Sale,3,2 days ago
982,A 200 Square Yards House Is Up For Grabs In Bahria Town Karachi,House,PKR1.45 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,1 day ago
983,Own A House In 200 Square Yards Karachi,House,PKR1.6 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,1 day ago
984,Spacious House Is Available For Sale In Ideal Location Of Bahria Town - Ali Block,House,PKR1.32 Crore,"Bahria Town Karachi, Karachi, Sindh",4,125 Sq. Yd.,For Sale,4,1 day ago
985,A Great Choice For A 125 Square Yards House Available In Bahria Town - Precinct 11-B,House,PKR1.2 Crore,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,1 day ago
986,House For sale Is Readily Available In Prime Location Of Bahria Town - Precinct 11-A,House,PKR1.7 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,1 day ago
987,House For sale Is Readily Available In Prime Location Of Bahria Town - Precinct 10-B,House,PKR1.25 Crore,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,1 day ago
988,This Is Your Chance To Buy House In Bahria Town - Precinct 10-A,House,PKR1.73 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,1 day ago
989,sale A House In Karachi Prime Location,House,PKR6 Crore,"Bahria Town Karachi, Karachi, Sindh",4,500 Sq. Yd.,For Sale,4,1 day ago
990,Luxury Apartment For Sale,Flat,PKR2.05 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",2,117 Sq. Yd.,For Sale,2,6 days ago
991,Brand New 500-Yard-Modern Style-By Famous Architect Design-With Pool And Basement,House,PKR22 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,1 week ago
992,Prime Location 2100 Square Feet Flat In Khalid Bin Walid Road Is Available For Sale,Flat,PKR4.5 Crore,"Khalid Bin Walid Road, Karachi, Sindh",4,233 Sq. Yd.,For Sale,3,1 week ago
993,Luxury Villa In Ali Block 125 Sq Yard Ready Or Installment,House,PKR1.1 Crore,PKR25 Lakh,PKR3.15 Lakh,24 Months,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.
994,Brand New House For Sale 240 Sq Yard In Gulistan-E-Jauhar,House,PKR6.1 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",6,240 Sq. Yd.,For Sale,6,1 week ago
995,100 Yards Beautiful Brand New Bungalow With Basement In Prime Location Dha Phase 7 Extension,House,PKR4.6 Crore,"DHA Defence, Karachi, Sindh",5,100 Sq. Yd.,For Sale,4,1 week ago
996,600 Yards Beautiful Maintained Bungalow In Dha Phase 7,House,PKR10 Crore,"DHA Defence, Karachi, Sindh",6,600 Sq. Yd.,For Sale,5,1 week ago
997,300 Yards Brand New Beautiful Bungalow Prime Location Dha Phase 4 Karachi,House,PKR12 Crore,"DHA Defence, Karachi, Sindh",6,300 Sq. Yd.,For Sale,5,1 week ago
998,Ideal House Is Available For Sale In Karachi,House,PKR1.76 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,1 week ago
999,BRAND NEW FLAT FOR SALE,Flat,PKR60 Lakh,"Gadap Town, Karachi, Sindh",2,100 Sq. Yd.,For Sale,2,1 week ago
1000,500 Yards Bungalow Near Ali Masjid Available For Sale,House,PKR11 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,1 day ago
1001,666 Yards Bungalow Prime Location Urgent Sale,House,PKR11.5 Crore,"DHA Defence, Karachi, Sindh",5,666 Sq. Yd.,For Sale,5,1 day ago
1002,Saadi Town Brand New Bungalow Sale 400 SQ Yd Vip Location Main 60 Ft Rd West Open Scheme 33 Near By Airport Or Super Highway,House,PKR6.4 Crore,"Scheme 33, Karachi, Sindh",6,400 Sq. Yd.,For Sale,6,2 days ago
1003,2250 SQ Feet Apartment FOR SALE PRECINCT-19 Bahria Town Karachi.,Flat,PKR1.7 Crore,"Bahria Town Karachi, Karachi, Sindh",3,250 Sq. Yd.,For Sale,3,2 days ago
1004,Flat For Sale In North Nazimabad Block L,Flat,PKR62 Lakh,"North Nazimabad, Karachi, Sindh",2,72 Sq. Yd.,For Sale,2,2 days ago
1005,1 Bed Lounge Flat Available In North Karachi Sector 5-H,Flat,PKR24 Lakh,"North Karachi, Karachi, Sindh",1,40 Sq. Yd.,For Sale,1,2 days ago
1006,"Brand New 3 Bed DDL With Servant Quarter 200 Sq Yd Villa FOR SALE. All Amenities Nearby Including MOSQUE, General Store &Amp; Parks",House,PKR1.7 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,2 days ago
1007,"Reasonably-Priced 272 Square Yards House In Bahria Town - Precinct 8, Karachi Is Available As Of Now",House,PKR3 Crore,"Bahria Town Karachi, Karachi, Sindh",4,272 Sq. Yd.,For Sale,4,1 day ago
1008,Get In Touch Now To Buy A House In Bahria Town - Precinct 4,House,PKR5 Crore,"Bahria Town Karachi, Karachi, Sindh",5,500 Sq. Yd.,For Sale,5,1 day ago
1009,Aesthetic House Of 272 Square Yards For sale Is Available,House,PKR2.85 Crore,"Bahria Town Karachi, Karachi, Sindh",4,272 Sq. Yd.,For Sale,4,1 day ago
1010,Luxury Apartment For Sale,Flat,PKR58 Lakh,"Shah Faisal Town, Karachi, Sindh",3,111 Sq. Yd.,For Sale,3,1 day ago
1011,120 Sq Yd Bungalow Available In Saadi Garden Scheme 33 Karachi,House,PKR1.35 Crore,"Scheme 33, Karachi, Sindh",3,"3,000 Sq. Yd.",For Sale,2,1 day ago
1012,240 Square Yard Bungalows Is Available In Saadi Garden Scheme 33 Karachi,House,PKR3.35 Crore,"Scheme 33, Karachi, Sindh",6,240 Sq. Yd.,For Sale,6,1 day ago
1013,120 Sq Yd Bungalow Available In Saadi Garden Scheme 33 Karachi,House,PKR1.6 Crore,"Scheme 33, Karachi, Sindh",5,120 Sq. Yd.,For Sale,4,1 day ago
1014,Brand New Ground Floor Flat,Flat,PKR36 Lakh,"Shah Faisal Town, Karachi, Sindh",2,83 Sq. Yd.,For Sale,2,1 day ago
1015,160 Square Yard Upper Portion Is Available For Sale In Scheme 33 Karachi,Upper Portion,PKR1.2 Crore,"Scheme 33, Karachi, Sindh",3,160 Sq. Yd.,For Sale,3,1 week ago
1016,200 Square Yards House Is Available For Sale In Etawa society Scheme 33,House,PKR3.5 Crore,"Scheme 33, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,1 week ago
1017,Apartment for urgent sale,Flat,PKR65 Lakh,"DHA Defence, Karachi, Sindh",2,100 Sq. Yd.,For Sale,2,1 week ago
1018,Brand New Flat Is Available For Sale,Upper Portion,PKR1.6 Crore,PKR60 Lakh,PKR5 Lakh,12 Months,"Scheme 33, Karachi, Sindh",4,240 Sq. Yd.
1019,Slightly Used 2nd Floor Apartment For Sale,Flat,PKR22 Lakh,"Korangi, Karachi, Sindh",2,42 Sq. Yd.,For Sale,2,1 week ago
1020,GROUND PLUS ONE HOUSE BOOKING AVAILABLE,House,PKR4 Crore,PKR1.5 Crore,PKR25 Lakh,10 Months,"Scheme 33, Karachi, Sindh",6,238 Sq. Yd.
1021,120 square Yrads Double Story Bungalow Available For Sale In Defence View Phase 2 Karachi Near To Iqra univercity,House,PKR2.6 Crore,"Defence View Society, Karachi, Sindh",6,120 Sq. Yd.,For Sale,5,1 week ago
1022,600 Sq. Yards Designer House With Two (2) Units Available For Sale,House,PKR17.25 Crore,"DHA Defence, Karachi, Sindh",6,600 Sq. Yd.,For Sale,6,1 week ago
1023,Brand New 200 Yard Luxury 2 Unit House For Sale In DHA Commissioner Society Phase 7 Extention,House,PKR6.9 Crore,"DHA Defence, Karachi, Sindh",6,200 Sq. Yd.,For Sale,6,1 week ago
1024,"Aesthetically Designed Six (6) Bedrooms Furnished House For SALE Located In One Of The Most Prime Location Of DHA, Phase-VI Covered Area: 500 Square Yards",House,PKR17.5 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,1 week ago
1025,Chance Deal 500 Yards Beautiful Bungalow For Sale,House,PKR9.5 Crore,"DHA Defence, Karachi, Sindh",5,500 Sq. Yd.,For Sale,5,1 day ago
1026,1000 Yards Top Quality Architecture House For Sale,House,PKR40 Crore,"DHA Defence, Karachi, Sindh",6,"1,000 Sq. Yd.",For Sale,7,1 day ago
1027,"3 Bed DD Lounge 235 Square Yard Villa FOR SALE. All Amenities Nearby Including MOSQUE, General Store & Parks",House,PKR1.35 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,2 days ago
1028,Brand New 3 Bedrooms Flat For Sale,Flat,PKR4.5 Crore,"Muslimabad Society, Karachi, Sindh",4,222 Sq. Yd.,For Sale,3,2 days ago
1029,Pls read Complete Details Below:,House,PKR4.2 Crore,"Malir, Karachi, Sindh",3,240 Sq. Yd.,For Sale,4,15 hours ago
1030,272 SQ. YDS PRECINCT 08 CORNER BRAND NEW LUXURY VILLA AVAILABLE FOR SALE,House,PKR3.6 Crore,"Bahria Town Karachi, Karachi, Sindh",5,272 Sq. Yd.,For Sale,4,2 days ago
1031,A Stunning 3 BED DD 1 Floor Flat for Sale at Prime Location of North Nazimabad Block M Golden Gate Residency,Flat,PKR2.25 Crore,"North Nazimabad, Karachi, Sindh",3,183 Sq. Yd.,For Sale,3,2 days ago
1032,Prime Location Flat For sale In Bath Island,Flat,PKR6.5 Crore,"Bath Island, Karachi, Sindh",-,267 Sq. Yd.,For Sale,-,1 day ago
1033,120 Sq Yd Bungalow Available In Saadi Garden Scheme 33 Karachi,House,PKR1.65 Crore,"Scheme 33, Karachi, Sindh",5,120 Sq. Yd.,For Sale,4,1 day ago
1034,Askari 5 - Sector E Flat For sale Sized 2600 Square Feet,Flat,PKR4.3 Crore,"Cantt, Karachi, Sindh",3,289 Sq. Yd.,For Sale,3,1 day ago
1035,Slightly Used Apartment Available For Sale,Flat,PKR1.2 Crore,"DHA Defence, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,1 day ago
1036,Get A 2600 Square Feet Flat For sale In Askari 5 - Sector E,Flat,PKR4.3 Crore,"Cantt, Karachi, Sindh",3,289 Sq. Yd.,For Sale,3,1 day ago
1037,Flat Available For Sale at Main Khayaban Seher Shehbaz Commercial Phase 6,Flat,PKR1.4 Crore,"DHA Defence, Karachi, Sindh",2,100 Sq. Yd.,For Sale,2,1 day ago
1038,Looking For A Flat In Askari 5 - Sector E Karachi,Flat,PKR4.3 Crore,"Cantt, Karachi, Sindh",3,289 Sq. Yd.,For Sale,3,1 day ago
1039,120 Sq Yd Bungalow Available For Sale In Saadi Town Scheme 33 Karachi,House,PKR1.55 Crore,"Scheme 33, Karachi, Sindh",3,120 Sq. Yd.,For Sale,2,1 day ago
1040,University Road Flat For Sale,Flat,PKR85 Lakh,"Gulistan-e-Jauhar, Karachi, Sindh",2,117 Sq. Yd.,For Sale,2,1 week ago
1041,240 Sq Yards House For Sale,House,PKR6.5 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",-,240 Sq. Yd.,For Sale,9,1 week ago
1042,120 Sq Yd Bungalow Available In Saadi Town Scheme 33 Karachi,House,PKR1.85 Crore,"Scheme 33, Karachi, Sindh",5,120 Sq. Yd.,For Sale,4,1 week ago
1043,Dha Phase-8 500 Yards Brand New Semi Furnished Excellent House Top Of The Line Construction West Open Proper Two Unit 3+3 With Basement,House,PKR22 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,1 week ago
1044,100 Square yards Staff Lane Bungalow Available For Sale In Dha phase 8 karachi,House,PKR4.75 Crore,"DHA Defence, Karachi, Sindh",6,100 Sq. Yd.,For Sale,5,1 week ago
1045,Prestigious Location 125 Sq Yards Ali Block Villa Available For Sale,House,PKR1.28 Crore,"Bahria Town Karachi, Karachi, Sindh",4,125 Sq. Yd.,For Sale,4,1 week ago
1046,Brand New House Available For Sale In Model Colony Near Saeed Super Store,House,PKR2.25 Crore,"Bin Qasim Town, Karachi, Sindh",3,133 Sq. Yd.,For Sale,2,1 week ago
1047,"Beautiful Flat In Model Colon, Gohar Complex",Flat,PKR75 Lakh,"Malir, Karachi, Sindh",2,90 Sq. Yd.,For Sale,2,1 week ago
1048,Prime Location Gwalior Cooperative Housing Society House Sized 240 Square Yards Is Available,House,PKR4.6 Crore,"Scheme 33, Karachi, Sindh",6,240 Sq. Yd.,For Sale,6,1 week ago
1049,Ideal Prime Location House In Karachi Available For Rs. 46000000,House,PKR4.6 Crore,"Scheme 33, Karachi, Sindh",6,240 Sq. Yd.,For Sale,6,1 week ago
1050,Beautifully Maintain Full Floor Apartment For Sale In Phase Ii-ext Defence,Flat,PKR1.78 Crore,"DHA Defence, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,2 days ago
1051,Apartment For Sale In Coral Tower Emaar Phase VIII DHA,Flat,PKR7.75 Crore,"DHA Defence, Karachi, Sindh",4,381 Sq. Yd.,For Sale,4,2 days ago
1052,A Stunning 3 BED DD 1 Floor Flat for Sale at Prime Location of North Nazimabad Block M Golden Gate Residency,Flat,PKR2.25 Crore,"North Nazimabad, Karachi, Sindh",3,183 Sq. Yd.,For Sale,3,2 days ago
1053,Authorized Listing - The Brick House - Mint Condition - 510 Yards House - Zamzama Streets Near Naval Housing Scheme - 1+3 Bedrooms - Front 50 - American Architecture - Italian Marble - Full Height Balcony Style Windows &Amp; Much More!,House,PKR12.75 Crore,"DHA Defence, Karachi, Sindh",5,510 Sq. Yd.,For Sale,4,2 days ago
1054,Exclusive Listing - The Spanish Casa - 1000 Yards - Central Location Of Phase-VI - 1+3 Bedrooms - Guest Room - 90 X 100 - Outdoor Pool - Without Basement - Lush Green Maintained Garden !,House,PKR21.9 Crore,"DHA Defence, Karachi, Sindh",6,"1,000 Sq. Yd.",For Sale,5,2 days ago
1055,Exclusive Listing - 1000 Yards - For Sale - Premium Vicinity Of Phase-VI - Impeccably Maintained - Lower Ground - Upper Ground - First Floor - 1+2+3 Bedrooms - Genuinely Owner Built Craftsmanship & Much More!,House,PKR19.5 Crore,"DHA Defence, Karachi, Sindh",6,"1,000 Sq. Yd.",For Sale,6,2 days ago
1056,Authorized Listing - 666 Yards - For Sale - Phase-VI - 2+3 Bedrooms - Spacious Garden - Without Basement - 5 Car Parking Space - Covered Area 5531 Sq Ft - Built Year 2003 - Provision To Convert into Two Units !,House,PKR14.5 Crore,"DHA Defence, Karachi, Sindh",6,666 Sq. Yd.,For Sale,5,2 days ago
1057,240 Square Yard Bungalow Available In Saadi Town Scheme 33 Karachi,House,PKR3.85 Crore,"Scheme 33, Karachi, Sindh",6,240 Sq. Yd.,For Sale,6,1 day ago
1058,sale The Ideally Located House For An Incredible Price Of Pkr Rs. 22500000,House,PKR2.25 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,1 day ago
1059,272 Square Yards House Is Available In Affordable Price In Bahria Town - Precinct 1,House,PKR3.1 Crore,"Bahria Town Karachi, Karachi, Sindh",4,272 Sq. Yd.,For Sale,4,1 day ago
1060,Looking For A Flat In Askari 5 - Sector E,Flat,PKR4.3 Crore,"Cantt, Karachi, Sindh",3,289 Sq. Yd.,For Sale,3,1 day ago
1061,Ground Floor Portion Brand New,Lower Portion,PKR2.15 Crore,"North Nazimabad, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,1 day ago
1062,Stunning 2600 Square Feet Flat In Askari 5 - Sector E Available,Flat,PKR4.3 Crore,"Cantt, Karachi, Sindh",3,289 Sq. Yd.,For Sale,3,1 day ago
1063,Find Your Ideal Flat In Karachi Under Rs. 43000000,Flat,PKR4.3 Crore,"Cantt, Karachi, Sindh",3,289 Sq. Yd.,For Sale,3,1 day ago
1064,Askari 5 - Sector E 2600 Square Feet Flat Up For sale,Flat,PKR4.3 Crore,"Cantt, Karachi, Sindh",3,289 Sq. Yd.,For Sale,3,1 day ago
1065,Grey Noor Tower Shopping Mall 3 Bed Flat,Flat,PKR1.55 Crore,"Scheme 33, Karachi, Sindh",4,156 Sq. Yd.,For Sale,3,1 week ago
1066,120 One Unit Bungalow For Sale,House,PKR2.85 Crore,"Naya Nazimabad, Karachi, Sindh",4,120 Sq. Yd.,For Sale,4,1 week ago
1067,500 Yards Architectural Modern Villa With High End Imported Fitting & Fixtures,House,PKR25.5 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,1 week ago
1068,"Brigadier House Available For Sale In Askari 5, Sector G",House,PKR9.25 Crore,"Cantt, Karachi, Sindh",6,500 Sq. Yd.,For Sale,5,1 week ago
1069,West Open Affordable Flat For Sale In Gulshan-E-Iqbal - Block 13/C,Flat,PKR78 Lakh,"Gulshan-e-Iqbal Town, Karachi, Sindh",2,111 Sq. Yd.,For Sale,2,1 week ago
1070,2 Bedrooms Luxury Apartment For Sale In Bahria Town Precinct 19,Flat,PKR72 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,1 week ago
1071,300 Yard G+1 Best Location Like A Brand House New St18,House,PKR3.3 Crore,"Malir, Karachi, Sindh",6,300 Sq. Yd.,For Sale,10,1 week ago
1072,500 Yards House For Sale In Dha 8,House,PKR20 Crore,"DHA Defence, Karachi, Sindh",-,500 Sq. Yd.,For Sale,-,1 week ago
1073,Ideally Located Prime Location House Of 120 Square Yards Is Available For Sale In Karachi,House,PKR2.75 Crore,"Scheme 33, Karachi, Sindh",5,120 Sq. Yd.,For Sale,4,1 day ago
1074,Rufi Dream Land 120 Square Yards House,House,PKR1.85 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",5,120 Sq. Yd.,For Sale,5,1 week ago
1075,3 Bedrooms Apartment For Sale In Civil Lines Karachi,Flat,PKR4.5 Crore,"Civil Lines, Karachi, Sindh",3,172 Sq. Yd.,For Sale,3,2 days ago
1076,900 Sq Feet Apartment For Sale In Phase 7-Ext DHA Karachi,Flat,PKR1.5 Crore,"DHA Defence, Karachi, Sindh",2,100 Sq. Yd.,For Sale,2,2 days ago
1077,Authorized Listing - 666 Yards - For Sale - Phase-VI - 2+3 Bedrooms - Spacious Garden - Without Basement - 5 Car Parking Space - Covered Area 5531 Sq Ft - Built Year 2003 - Provision To Convert into Two Units !,House,PKR14.5 Crore,"DHA Defence, Karachi, Sindh",6,666 Sq. Yd.,For Sale,5,2 days ago
1078,SDH 350 SQ YARD HOUSE FOR SALE,House,PKR8.5 Crore,"Malir, Karachi, Sindh",5,350 Sq. Yd.,For Sale,4,2 days ago
1079,350 Square Yard Bungalow For Sale,House,PKR8.05 Crore,"Malir, Karachi, Sindh",5,350 Sq. Yd.,For Sale,4,2 days ago
1080,Brand New Houses For sale,House,PKR8.1 Crore,"Malir, Karachi, Sindh",5,350 Sq. Yd.,For Sale,4,2 days ago
1081,Authorized Listing - Most Competitive Priced - 500 Yards - Under Construction House - Phase-VIII ZONE-A - Front 65 - 1+3 Bedrooms - Outdoor Swimming Pool !,House,PKR14.9 Crore,"DHA Defence, Karachi, Sindh",5,500 Sq. Yd.,For Sale,4,2 days ago
1082,Best Options For Flat Is Available For sale In Askari 5 - Sector E,Flat,PKR4.3 Crore,"Cantt, Karachi, Sindh",3,289 Sq. Yd.,For Sale,3,1 day ago
1083,Falcon Complex New Malir 350 Square Yards House Up For sale,House,PKR9.1 Crore,"Malir, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,1 day ago
1084,Affordable Prime Location House Of 500 Square Yards Is Available For Sale,House,PKR12.1 Crore,"Malir, Karachi, Sindh",5,500 Sq. Yd.,For Sale,5,1 day ago
